"1. Function of the process item - function of the system, sub-system, part element or process",Specification of process item,2. Function of the process step and product characteristic,No.,Requirement / Specification of the process step,Filter code,3. Function of the process work element and process characteristic,Specification of the process work element,1. Failure effect (FE) to next higher level element and/or end user,Severity (S) of FE,Severity (S max) of FE,2. Failure mode (FM) of the focus element,3. Failure cause (FC) of the work element,Current preventive control (PC) for FC,Occurrence (O1) of FC,Current detection control (DC) for FC or FM,Detection (D1) of FC/FM,PFMEA AP1,Action bundle (date),Recommended action,P/D,Name of responsible person,Target completion date,Status,Action taken with pointer to evidence,P/D.1,Completion date,Severity (S),Occurrence (O2),Detection (D2),PFMEA AP2,subject,fmea_id,fmea_type,package,location,SME_Remark,Index,fmea_idx_id
"Function for Effects
[Z8K00018355]",,00  Receiving -  Incoming from previous process (Storage/Handling/ Transportation),1.1.a,,,"MH receive wafer from Pre-assembly through pass box to DA kitting storage rack using trolley (OJTI-Z8K00010746) MH will receive leadframe from mini store through pass box to DA kitting storage rack using trolley (OJTI-Z8K00005094) ACR personnel will receive glue through transit room to ACR room using trolley (OJTI-Z9K00010452)
[Material_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Mixed Device,"Wrong wafer barcode
[Material_Z8K00018355]",(P / D) Machine barcode scanner.,3,(D) Machine wafer mapping reference coordinate detection stop machine for futher processing,2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,0,Z8K00018355_0
"Function for Effects
[Z8K00018355]",,10 Material Preparation (Storage/Handling/ Transportation),1.1.b,,,"DA LA will standby lot (wafer and leadframe) at DA standby cabinet   (OJTI-Z8K00010746) To get ready all necessary material, software, system prior to start production from planner/ supervisor such as production machine setup (bonding recipe, collet, collet holder, collet jig needle, needle holder, paperpot, glue, glue adaptor, adaptor lock stamp code, showerhead/writter) and leadframe.     (OJTI-Z8K00004781)
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Mixed Device,"Mixed Leadframe
[Method_Z8K00018355]",(P / D) LF barcode scanner,3,"(D) LF subpitch error detection stop machine, lot will not able to track in camstar",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,1,Z8K00018355_1
"Function for Effects
[Z8K00018355]",,10 Material Preparation (Storage/Handling/ Transportation),,,,"DA LA will standby lot (wafer and leadframe) at DA standby cabinet   (OJTI-Z8K00010746) To get ready all necessary material, software, system prior to start production from planner/ supervisor such as production machine setup (bonding recipe, collet, collet holder, collet jig needle, needle holder, paperpot, glue, glue adaptor, adaptor lock stamp code, showerhead/writter) and leadframe.     (OJTI-Z8K00004781)
[Method_Z8K00018355]",,"Customer: Reliability  failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Low die shear strength,"wrong glue used
[Method_Z8K00018355]",(P / D) Glue barcode scanner,2,(D) Camstar will prompt error when lot is track in and block lot from proceed in camstar.,2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,2,Z8K00018355_2
"Function for Effects
[Z8K00018355]",,10 Material Preparation (Storage/Handling/ Transportation),,,,"DA LA will standby lot (wafer and leadframe) at DA standby cabinet   (OJTI-Z8K00010746) To get ready all necessary material, software, system prior to start production from planner/ supervisor such as production machine setup (bonding recipe, collet, collet holder, collet jig needle, needle holder, paperpot, glue, glue adaptor, adaptor lock stamp code, showerhead/writter) and leadframe.     (OJTI-Z8K00004781)
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Low bond line thickness,"wrong glue used
[Method_Z8K00018355]",(P / D) Glue barcode scanner,2,(D) Camstar will prompt error when lot is track in and block lot from proceed in camstar.,2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,3,Z8K00018355_3
"Function for Effects
[Z8K00018355]",,20 Input,1.1.c,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Machine_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Damaged/ Bent/ Contaminated leadframe,"Leadframe pick up suction cup offset
[Machine_Z8K00018355]",(P) Fixed pick-up suction cup location,3,"(D) Conversion and Setup

(D) Leadframe sensor detection stop machine",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,4,Z8K00018355_4
"Function for Effects
[Z8K00018355]",,20 Input,,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Material_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Man_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Scratches on lead,"Leadframe metal sensor offset
[Machine_Z8K00018355]",(P) Fixed metal sensor position,2,"(D) Production Surveillance

(D) WB detection (NSOP)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,5,Z8K00018355_5
"Function for Effects
[Z8K00018355]",,20 Input,,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Material_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Man_Z8K00018355]",,"IFX: Yield loss
[Z8K00018355]",7,7,Bent Lead,"No interleave paper was insert into partial lead frame black casing
[Method_Z8K00018355]",(P) Procedural control OJTI Z8K00005094,1,"(D) Da kitting visual inspection

(D) Production Surveillance",6,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,6,Z8K00018355_6
"Function for Effects
[Z8K00018355]",,20 Input,,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Material_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Man_Z8K00018355]",,"IFX: Yield loss
[Z8K00018355]",,,Bent Lead,"Improper handling during manual leadframe top-up
[Method_Z8K00018355]",(P) leadframe loaded on the die bonder in the leadframe casing,1,"(D) Production Surveillance

(D) 100% auto vision (post bond inspection)",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,7,Z8K00018355_7
"Function for Effects
[Z8K00018355]",,20 Input,,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Material_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Man_Z8K00018355]",,"IFX: Yield loss
[Z8K00018355]",7,7,Lead/Power bar lifted,"Stacked leadframe
[Material_Z8K00018355]",(P) Incoming leadframe check by SQM,1,(D) Machine centering sensor (MCS) detection and stop machine,2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,8,Z8K00018355_8
"Function for Effects
[Z8K00018355]",,20 Input,,,,"Operator/ Technician will load leadframe to the leadframe input stack loader
[Material_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Man_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]",8,8,Foreign particle,"Leadframe transfer from input and standby above indexer leadframe
[Method_Z8K00018355]",(P) Leadframe standby position changed at pick up inspection position instead of standby above indexer.,2,(D) Safe release buyoff,4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,9,Z8K00018355_9
